customer_id,tenure_months,monthly_charges,total_charges,num_products,support_calls,contract_type,payment_method,age_group,signup_month,cohort,churn
CUST_0064,10,81.85,760.71,3,0,Month-to-Month,Credit Card,Middle Age,3,2023-03,0
CUST_0065,7,20.0,129.87,5,1,Month-to-Month,Bank Transfer,Senior,11,2022-11,0
CUST_0066,18,57.4,1082.2,1,3,Month-to-Month,Electronic Check,Senior,6,2021-06,1
CUST_0067,3,60.23,195.95,5,3,Month-to-Month,Mailed Check,Young Adult,12,2022-12,1
CUST_0068,38,82.67,3198.86,2,3,Two Year,Bank Transfer,Young Adult,2,2021-02,0
CUST_0069,1,70.45,87.54,1,1,Two Year,Credit Card,Middle Age,9,2023-09,0
CUST_0070,72,41.89,2951.16,3,6,Two Year,Bank Transfer,Senior,2,2021-02,0
CUST_0071,35,50.3,1634.46,2,2,Month-to-Month,Credit Card,Senior,10,2023-10,0
CUST_0072,5,73.97,377.29,4,2,Month-to-Month,Bank Transfer,Middle Age,8,2023-08,1
CUST_0073,1,68.42,57.72,4,5,One Year,Bank Transfer,Young Adult,10,2021-10,0
CUST_0074,40,58.42,2287.95,4,4,Month-to-Month,Electronic Check,Young Adult,4,2021-04,1
CUST_0075,29,60.38,1665.99,3,4,Month-to-Month,Electronic Check,Senior,4,2021-04,1
CUST_0076,31,83.92,2564.78,5,2,Month-to-Month,Electronic Check,Middle Age,5,2023-05,0
CUST_0077,35,59.65,2078.03,1,8,Two Year,Electronic Check,Middle Age,1,2022-01,0
CUST_0078,1,68.24,101.53,3,5,One Year,Electronic Check,Senior,4,2023-04,0
CUST_0079,10,113.4,1143.43,2,5,Month-to-Month,Electronic Check,Senior,6,2021-06,1
CUST_0080,2,41.53,163.46,2,7,Month-to-Month,Electronic Check,Middle Age,12,2023-12,1
CUST_0081,47,32.96,1497.34,4,2,One Year,Bank Transfer,Middle Age,10,2021-10,0
CUST_0082,23,85.67,2014.46,1,2,One Year,Bank Transfer,Middle Age,2,2021-02,0
CUST_0083,9,56.43,510.23,4,3,One Year,Electronic Check,Middle Age,11,2022-11,0
CUST_0084,1,63.64,98.37,2,6,Month-to-Month,Electronic Check,Middle Age,3,2023-03,1
CUST_0085,8,54.38,413.21,2,2,Month-to-Month,Electronic Check,Young Adult,11,2021-11,1
CUST_0086,9,64.8,636.78,5,6,One Year,Bank Transfer,Senior,4,2023-04,1
CUST_0087,31,101.97,3175.83,5,6,Two Year,Credit Card,Senior,3,2022-03,0
CUST_0088,24,86.04,2030.99,5,4,Month-to-Month,Mailed Check,Senior,9,2021-09,1
CUST_0089,52,87.24,4535.88,4,5,Month-to-Month,Bank Transfer,Middle Age,6,2021-06,0
CUST_0090,15,41.68,613.22,1,4,Month-to-Month,Bank Transfer,Middle Age,11,2023-11,1
CUST_0091,3,46.98,165.4,5,2,Month-to-Month,Electronic Check,Young Adult,5,2023-05,1
CUST_0092,29,20.0,521.01,3,2,Month-to-Month,Credit Card,Middle Age,5,2023-05,0
CUST_0093,34,53.81,1828.07,5,6,One Year,Mailed Check,Middle Age,2,2022-02,0
CUST_0094,19,89.13,1713.24,4,5,Month-to-Month,Electronic Check,Middle Age,12,2022-12,1
CUST_0095,35,80.34,2813.55,1,2,Month-to-Month,Credit Card,Young Adult,9,2021-09,0
CUST_0096,16,65.57,1116.47,5,2,Month-to-Month,Electronic Check,Middle Age,2,2023-02,0
CUST_0097,17,69.55,1221.05,1,4,Two Year,Credit Card,Middle Age,5,2022-05,1
CUST_0098,13,56.22,730.49,3,3,One Year,Bank Transfer,Young Adult,7,2023-07,0
CUST_0099,1,74.1,84.93,2,3,Month-to-Month,Credit Card,Young Adult,3,2023-03,1
CUST_0100,2,85.32,185.42,1,6,Month-to-Month,Bank Transfer,Middle Age,8,2022-08,1
CUST_0101,1,37.68,57.84,5,3,Month-to-Month,Bank Transfer,Middle Age,5,2023-05,1
CUST_0102,24,75.99,1732.48,4,4,Month-to-Month,Credit Card,Middle Age,10,2021-10,1
CUST_0103,9,88.65,782.77,4,4,Month-to-Month,Bank Transfer,Middle Age,12,2021-12,1
CUST_0104,17,61.7,974.68,4,4,One Year,Mailed Check,Young Adult,3,2023-03,1
CUST_0105,57,84.01,4852.48,4,4,Month-to-Month,Mailed Check,Young Adult,3,2022-03,1
CUST_0106,6,120.0,716.96,1,5,Two Year,Bank Transfer,Young Adult,3,2023-03,0
CUST_0107,12,67.91,805.25,4,0,Month-to-Month,Credit Card,Young Adult,11,2021-11,0
CUST_0108,33,77.87,2614.55,2,3,Month-to-Month,Electronic Check,Senior,12,2023-12,1
CUST_0109,6,55.24,352.56,3,1,Month-to-Month,Electronic Check,Young Adult,3,2022-03,0
CUST_0110,1,73.63,17.2,1,3,Month-to-Month,Electronic Check,Young Adult,4,2022-04,0
CUST_0111,8,79.21,630.13,1,10,Month-to-Month,Electronic Check,Young Adult,10,2022-10,1
CUST_0112,4,73.9,278.84,4,3,One Year,Electronic Check,Middle Age,1,2022-01,0
CUST_0113,63,49.61,3038.2,4,3,Month-to-Month,Electronic Check,Middle Age,12,2021-12,0
CUST_0114,39,74.13,2856.56,1,2,Month-to-Month,Electronic Check,Young Adult,3,2023-03,0
CUST_0115,24,99.24,2372.58,4,2,Two Year,Credit Card,Young Adult,10,2021-10,0
CUST_0116,49,78.97,3863.78,4,1,Two Year,Electronic Check,Senior,10,2022-10,0
CUST_0117,39,89.24,3406.25,4,4,One Year,Bank Transfer,Senior,5,2023-05,0
CUST_0118,4,65.26,318.62,4,4,One Year,Electronic Check,Senior,8,2023-08,0
CUST_0119,53,85.0,4499.89,4,5,Month-to-Month,Bank Transfer,Young Adult,8,2022-08,0
CUST_0120,18,75.59,1362.5,5,6,Month-to-Month,Bank Transfer,Middle Age,9,2023-09,1
CUST_0121,39,50.98,2008.25,5,2,Month-to-Month,Electronic Check,Middle Age,9,2022-09,0
CUST_0122,54,76.37,4084.58,5,2,Two Year,Mailed Check,Young Adult,6,2023-06,0
CUST_0123,9,50.17,474.35,1,2,Month-to-Month,Credit Card,Middle Age,10,2022-10,1
CUST_0124,2,57.34,96.33,3,2,Month-to-Month,Electronic Check,Middle Age,7,2021-07,1
CUST_0125,6,73.79,397.91,1,1,Month-to-Month,Electronic Check,Middle Age,12,2023-12,1
CUST_0126,13,75.94,1015.89,5,2,Month-to-Month,Bank Transfer,Middle Age,11,2021-11,0
CUST_0127,40,46.22,1923.38,1,4,Month-to-Month,Credit Card,Middle Age,12,2021-12,0
CUST_0128,47,91.08,4317.0,3,4,Month-to-Month,Electronic Check,Senior,4,2021-04,0
CUST_0129,1,81.44,127.59,4,3,Month-to-Month,Mailed Check,Middle Age,3,2021-03,1
CUST_0130,17,55.91,924.44,2,2,Month-to-Month,Bank Transfer,Middle Age,11,2021-11,0
CUST_0131,12,39.25,391.12,5,2,Month-to-Month,Bank Transfer,Middle Age,3,2023-03,0
CUST_0132,6,67.1,477.11,5,2,Month-to-Month,Bank Transfer,Senior,2,2023-02,1
CUST_0133,3,61.08,285.97,3,1,One Year,Bank Transfer,Senior,8,2023-08,0
CUST_0134,9,72.26,727.48,4,2,Month-to-Month,Electronic Check,Middle Age,7,2021-07,1
CUST_0135,68,62.74,4249.53,4,3,One Year,Credit Card,Middle Age,8,2022-08,0
CUST_0136,9,29.85,210.92,2,2,Month-to-Month,Bank Transfer,Senior,6,2022-06,0
CUST_0137,17,62.23,1004.63,4,3,Month-to-Month,Electronic Check,Middle Age,10,2023-10,0
CUST_0138,29,63.89,1768.62,3,5,One Year,Electronic Check,Senior,12,2021-12,0
CUST_0139,10,82.67,821.33,4,5,Month-to-Month,Electronic Check,Middle Age,10,2023-10,1
CUST_0140,72,56.04,4115.16,3,1,Month-to-Month,Electronic Check,Senior,5,2021-05,0
CUST_0141,72,103.57,7449.96,5,3,Two Year,Electronic Check,Middle Age,1,2022-01,0
CUST_0142,6,31.77,205.74,5,6,Month-to-Month,Bank Transfer,Young Adult,8,2022-08,1
CUST_0143,16,96.22,1608.3,5,3,Month-to-Month,Bank Transfer,Middle Age,2,2021-02,1
CUST_0144,8,65.51,503.88,1,3,Two Year,Electronic Check,Young Adult,1,2022-01,0
CUST_0145,8,87.19,799.3,5,1,Month-to-Month,Bank Transfer,Middle Age,9,2021-09,1
CUST_0146,1,71.6,171.2,3,2,One Year,Credit Card,Middle Age,11,2023-11,0
CUST_0147,22,92.79,2034.82,2,0,Month-to-Month,Electronic Check,Middle Age,11,2021-11,1
CUST_0148,16,62.25,967.12,4,2,Month-to-Month,Electronic Check,Young Adult,8,2021-08,0
CUST_0149,1,48.03,82.89,5,4,Month-to-Month,Electronic Check,Middle Age,11,2022-11,1
CUST_0150,7,98.41,671.49,1,5,Month-to-Month,Bank Transfer,Young Adult,9,2021-09,1
CUST_0151,57,67.73,3802.78,1,6,One Year,Electronic Check,Senior,5,2022-05,0
CUST_0152,6,74.43,510.64,3,6,Two Year,Electronic Check,Senior,3,2021-03,1
CUST_0153,3,94.7,344.92,2,6,Month-to-Month,Electronic Check,Senior,11,2022-11,1
CUST_0154,16,49.36,797.54,5,3,One Year,Mailed Check,Young Adult,8,2021-08,0
CUST_0155,72,81.91,5834.38,5,3,Month-to-Month,Bank Transfer,Young Adult,4,2021-04,0
CUST_0156,6,58.2,287.72,1,5,Month-to-Month,Credit Card,Senior,1,2021-01,1
CUST_0157,26,67.36,1756.72,3,2,Two Year,Mailed Check,Young Adult,9,2021-09,0
CUST_0158,34,71.45,2404.31,1,4,Month-to-Month,Electronic Check,Middle Age,11,2023-11,1
CUST_0159,6,40.0,222.95,1,4,Month-to-Month,Bank Transfer,Senior,4,2023-04,1
CUST_0160,31,54.42,1738.12,2,4,Month-to-Month,Electronic Check,Middle Age,12,2022-12,1
CUST_0161,11,97.02,1103.88,3,5,Month-to-Month,Electronic Check,Middle Age,2,2023-02,1
CUST_0162,24,87.72,2174.19,2,4,Month-to-Month,Bank Transfer,Young Adult,10,2023-10,1
CUST_0163,24,68.75,1600.47,3,6,One Year,Bank Transfer,Senior,3,2022-03,0
CUST_0164,18,74.86,1330.32,5,3,Two Year,Electronic Check,Middle Age,6,2023-06,0
CUST_0165,2,64.12,166.19,4,0,Month-to-Month,Electronic Check,Young Adult,9,2022-09,0
CUST_0166,43,97.13,4198.99,4,2,Month-to-Month,Credit Card,Middle Age,6,2023-06,1
CUST_0167,9,65.99,670.53,3,5,Month-to-Month,Bank Transfer,Young Adult,12,2022-12,1
CUST_0168,4,74.64,319.59,4,1,Month-to-Month,Electronic Check,Middle Age,12,2022-12,1
CUST_0169,1,92.92,185.33,1,2,Two Year,Bank Transfer,Middle Age,4,2023-04,0
CUST_0170,21,54.45,1170.45,5,7,Two Year,Bank Transfer,Young Adult,1,2022-01,1
CUST_0171,27,101.18,2784.97,5,2,One Year,Electronic Check,Young Adult,2,2021-02,0
CUST_0172,1,39.39,23.21,4,5,One Year,Bank Transfer,Young Adult,7,2023-07,0
CUST_0173,17,102.59,1744.74,3,4,One Year,Electronic Check,Young Adult,3,2021-03,1
CUST_0174,6,62.55,420.85,1,2,Month-to-Month,Bank Transfer,Middle Age,2,2023-02,1
CUST_0175,24,65.15,1644.25,3,2,Month-to-Month,Bank Transfer,Senior,12,2023-12,0
CUST_0176,4,32.2,165.26,4,1,Month-to-Month,Credit Card,Young Adult,6,2022-06,0
CUST_0177,28,60.9,1701.04,5,0,One Year,Electronic Check,Young Adult,4,2022-04,0
CUST_0178,11,49.2,610.07,5,2,Month-to-Month,Mailed Check,Middle Age,1,2022-01,1
CUST_0179,66,57.85,3708.5,3,3,Month-to-Month,Electronic Check,Middle Age,9,2023-09,0
CUST_0180,3,67.25,130.64,2,3,Month-to-Month,Credit Card,Senior,9,2022-09,1
CUST_0181,10,89.16,925.68,3,2,One Year,Credit Card,Senior,11,2021-11,0
CUST_0182,2,74.15,149.01,2,3,Two Year,Credit Card,Middle Age,5,2021-05,1
CUST_0183,62,76.15,4751.58,3,2,Month-to-Month,Credit Card,Young Adult,8,2023-08,0
CUST_0184,50,48.09,2407.72,2,5,One Year,Credit Card,Young Adult,6,2023-06,0
CUST_0185,7,52.38,395.21,2,2,Month-to-Month,Electronic Check,Young Adult,7,2022-07,1
CUST_0186,25,105.97,2608.53,2,3,One Year,Bank Transfer,Senior,6,2021-06,0
CUST_0187,40,55.3,2240.52,2,1,Month-to-Month,Electronic Check,Middle Age,7,2022-07,0
CUST_0188,19,103.12,2009.0,1,4,Month-to-Month,Electronic Check,Young Adult,3,2022-03,1
CUST_0189,18,65.14,1233.55,2,0,Month-to-Month,Credit Card,Senior,11,2022-11,0
CUST_0190,6,70.05,520.98,2,1,Month-to-Month,Credit Card,Senior,3,2022-03,0
CUST_0191,2,91.41,195.02,5,6,Two Year,Electronic Check,Senior,10,2021-10,0
CUST_0192,54,95.44,5167.46,1,3,Two Year,Credit Card,Young Adult,3,2022-03,0
CUST_0193,55,67.78,3651.74,2,4,Month-to-Month,Credit Card,Young Adult,10,2021-10,0
CUST_0194,24,62.24,1467.19,4,5,Month-to-Month,Electronic Check,Young Adult,6,2021-06,1
CUST_0195,9,68.88,610.27,1,8,One Year,Bank Transfer,Middle Age,1,2023-01,1
CUST_0196,10,76.76,820.12,5,7,Month-to-Month,Mailed Check,Middle Age,12,2022-12,1
CUST_0197,31,87.83,2692.18,3,3,Month-to-Month,Credit Card,Senior,12,2023-12,0
CUST_0198,54,70.08,3824.14,5,3,Month-to-Month,Bank Transfer,Young Adult,9,2023-09,0
CUST_0199,52,82.38,4283.68,5,1,Two Year,Electronic Check,Middle Age,9,2023-09,0
CUST_0200,36,102.77,3690.86,1,7,One Year,Bank Transfer,Senior,4,2021-04,0
CUST_0201,24,77.63,1875.56,1,8,One Year,Credit Card,Young Adult,2,2022-02,1
CUST_0202,2,76.23,132.9,4,1,Month-to-Month,Credit Card,Young Adult,7,2023-07,1
CUST_0203,4,39.62,137.03,4,5,One Year,Bank Transfer,Middle Age,7,2021-07,1
CUST_0204,54,20.0,994.76,1,3,Month-to-Month,Electronic Check,Middle Age,6,2023-06,0
CUST_0205,22,77.77,1698.54,1,5,Month-to-Month,Credit Card,Senior,8,2021-08,1
CUST_0206,1,68.1,44.1,1,2,One Year,Electronic Check,Senior,3,2021-03,0
CUST_0207,2,59.7,93.6,3,3,Two Year,Bank Transfer,Senior,2,2021-02,0
CUST_0208,26,74.87,1967.46,5,4,Two Year,Bank Transfer,Middle Age,10,2021-10,0
CUST_0209,1,68.79,101.72,4,6,One Year,Credit Card,Young Adult,1,2022-01,1
CUST_0210,4,92.56,381.85,4,1,One Year,Credit Card,Senior,12,2021-12,0
CUST_0211,19,71.72,1412.45,2,7,One Year,Bank Transfer,Senior,3,2023-03,1
CUST_0212,28,55.06,1570.46,3,3,Two Year,Electronic Check,Middle Age,8,2022-08,0
CUST_0213,25,89.8,2230.25,1,4,Month-to-Month,Electronic Check,Middle Age,12,2023-12,1
CUST_0214,6,65.66,370.82,1,6,Month-to-Month,Credit Card,Middle Age,8,2022-08,1
CUST_0215,29,80.53,2351.01,3,2,One Year,Credit Card,Senior,7,2023-07,0
CUST_0216,6,60.45,391.39,4,0,Two Year,Credit Card,Young Adult,12,2023-12,0
CUST_0217,9,57.0,582.89,1,1,Month-to-Month,Electronic Check,Middle Age,2,2021-02,0
CUST_0218,32,71.68,2353.32,2,4,One Year,Credit Card,Senior,3,2023-03,0
CUST_0219,25,70.26,1729.43,4,3,Month-to-Month,Mailed Check,Senior,7,2022-07,1
CUST_0220,45,79.6,3576.9,5,3,Two Year,Electronic Check,Middle Age,11,2023-11,0
CUST_0221,25,64.63,1649.3,3,4,One Year,Bank Transfer,Senior,8,2021-08,0
CUST_0222,20,33.27,718.8,4,5,Month-to-Month,Credit Card,Young Adult,9,2021-09,0
CUST_0223,2,61.34,169.63,5,1,One Year,Mailed Check,Young Adult,6,2022-06,0
CUST_0224,11,85.88,941.49,2,7,One Year,Credit Card,Middle Age,10,2023-10,1
CUST_0225,7,64.05,385.65,3,6,Two Year,Credit Card,Young Adult,3,2021-03,0
CUST_0226,6,65.07,340.47,1,2,Two Year,Bank Transfer,Middle Age,9,2022-09,0
CUST_0227,72,89.73,6474.19,1,3,Month-to-Month,Electronic Check,Young Adult,5,2022-05,0
CUST_0228,11,55.76,630.47,5,4,Month-to-Month,Credit Card,Middle Age,12,2021-12,1
CUST_0229,53,39.14,2019.49,4,1,One Year,Credit Card,Middle Age,4,2022-04,0
CUST_0230,23,66.79,1538.4,2,4,Two Year,Credit Card,Middle Age,9,2023-09,0
CUST_0231,38,60.32,2323.72,5,7,Month-to-Month,Electronic Check,Young Adult,10,2023-10,1
CUST_0232,16,50.68,753.32,2,1,Month-to-Month,Electronic Check,Young Adult,12,2023-12,1
CUST_0233,20,66.49,1385.05,2,3,Month-to-Month,Electronic Check,Young Adult,2,2022-02,0
CUST_0234,16,79.83,1258.4,2,1,Month-to-Month,Bank Transfer,Young Adult,10,2022-10,0
CUST_0235,5,69.81,411.93,3,4,One Year,Mailed Check,Young Adult,4,2023-04,0
CUST_0236,30,76.14,2257.53,5,4,Month-to-Month,Electronic Check,Young Adult,6,2023-06,1
CUST_0237,7,106.27,692.56,3,2,Month-to-Month,Electronic Check,Middle Age,11,2021-11,1
CUST_0238,1,63.14,40.23,4,6,Two Year,Mailed Check,Young Adult,6,2023-06,1
CUST_0239,24,75.57,1808.92,4,3,Month-to-Month,Bank Transfer,Middle Age,12,2022-12,0
CUST_0240,4,59.82,219.86,1,4,One Year,Bank Transfer,Young Adult,11,2021-11,1
CUST_0241,67,53.07,3544.89,1,2,Month-to-Month,Electronic Check,Senior,10,2022-10,0
CUST_0242,72,58.3,4214.3,1,5,One Year,Bank Transfer,Young Adult,5,2022-05,0
CUST_0243,59,60.42,3556.22,4,3,Month-to-Month,Bank Transfer,Middle Age,10,2023-10,0
CUST_0244,11,77.19,845.78,2,4,Month-to-Month,Electronic Check,Middle Age,7,2021-07,1
CUST_0245,1,116.98,31.52,2,3,Month-to-Month,Electronic Check,Senior,5,2022-05,1
CUST_0246,63,55.68,3527.42,5,3,Two Year,Electronic Check,Middle Age,6,2022-06,0
CUST_0247,13,61.67,797.25,4,6,Month-to-Month,Electronic Check,Middle Age,1,2023-01,1
CUST_0248,72,68.74,5029.79,1,1,Month-to-Month,Mailed Check,Middle Age,8,2022-08,0
CUST_0249,72,77.92,5563.26,4,4,One Year,Credit Card,Middle Age,5,2022-05,0
CUST_0250,46,75.27,3372.01,2,1,Month-to-Month,Bank Transfer,Young Adult,5,2023-05,0
CUST_0251,8,95.68,796.34,2,1,Two Year,Bank Transfer,Middle Age,10,2023-10,0
CUST_0252,11,21.47,253.5,3,4,Month-to-Month,Credit Card,Senior,6,2023-06,1
CUST_0253,45,22.26,951.28,3,3,Month-to-Month,Bank Transfer,Middle Age,6,2022-06,0
CUST_0254,9,60.08,464.23,5,1,Month-to-Month,Electronic Check,Middle Age,8,2021-08,1
CUST_0255,4,91.95,444.67,4,2,Month-to-Month,Credit Card,Young Adult,4,2022-04,1
CUST_0256,19,38.69,805.82,3,2,Month-to-Month,Mailed Check,Senior,4,2021-04,0
CUST_0257,66,20.0,1195.63,3,2,Month-to-Month,Electronic Check,Young Adult,3,2022-03,0
CUST_0258,28,81.42,2256.85,4,3,Month-to-Month,Credit Card,Young Adult,9,2022-09,0
CUST_0259,20,74.87,1580.61,2,4,Two Year,Bank Transfer,Middle Age,8,2021-08,0
CUST_0260,2,48.2,72.6,5,7,One Year,Bank Transfer,Middle Age,5,2022-05,1
CUST_0261,22,50.29,1081.85,5,2,One Year,Credit Card,Senior,11,2022-11,0
CUST_0262,72,50.61,3629.78,5,7,Month-to-Month,Bank Transfer,Young Adult,8,2022-08,0
CUST_0263,3,72.21,160.59,3,0,One Year,Electronic Check,Middle Age,6,2022-06,0
CUST_0264,17,57.47,891.75,2,3,Month-to-Month,Bank Transfer,Young Adult,5,2022-05,0
CUST_0265,50,79.88,4046.63,5,6,Two Year,Bank Transfer,Middle Age,9,2021-09,0
CUST_0266,32,20.0,547.85,4,2,Month-to-Month,Electronic Check,Middle Age,9,2022-09,0
CUST_0267,28,52.86,1492.44,5,1,One Year,Credit Card,Middle Age,11,2021-11,0
CUST_0268,29,47.48,1421.25,1,2,One Year,Electronic Check,Middle Age,8,2022-08,0
CUST_0269,10,64.87,576.14,2,6,One Year,Electronic Check,Middle Age,12,2023-12,1
CUST_0270,8,59.24,427.71,1,3,Two Year,Credit Card,Middle Age,10,2022-10,0
CUST_0271,39,85.96,3413.1,2,2,Month-to-Month,Credit Card,Middle Age,3,2023-03,0
CUST_0272,39,32.81,1306.23,4,6,One Year,Mailed Check,Middle Age,9,2021-09,0
CUST_0273,48,70.91,3372.82,3,3,Month-to-Month,Credit Card,Middle Age,6,2022-06,0
CUST_0274,58,81.17,4767.97,3,1,Month-to-Month,Bank Transfer,Senior,9,2023-09,0
CUST_0275,17,107.13,1881.54,2,3,Month-to-Month,Electronic Check,Middle Age,1,2023-01,1
CUST_0276,16,60.36,979.21,5,4,One Year,Electronic Check,Senior,1,2023-01,0
CUST_0277,38,76.49,2861.61,1,5,Month-to-Month,Mailed Check,Young Adult,6,2022-06,1
CUST_0278,25,33.92,827.33,4,5,Month-to-Month,Bank Transfer,Young Adult,12,2022-12,1
CUST_0279,29,22.16,656.96,5,1,Month-to-Month,Electronic Check,Middle Age,4,2023-04,0
